branch,state,category_code,category,name,igod_org_id,website,listing_url
apx,AN,APXS,Andaman and Nicobar Islands,"Lt. Gen. Governor's Office, Andaman and Nicobar Island",,,https://igod.gov.in/apx/AN/APXS/organizations
apx,AN,APXS,Andaman and Nicobar Islands,"Election Department, Andaman & Nicobar",,https://www.ceoandaman.nic.in,https://igod.gov.in/apx/AN/APXS/organizations
apx,AP,APXS,Andhra Pradesh,"Governor of Andhra Pradesh - Raj Bhavan, Vijayawada",,https://www.rajbhavan.ap.gov.in,https://igod.gov.in/apx/AP/APXS/organizations
apx,AP,APXS,Andhra Pradesh,Andhra Pradesh Public Service Commission,,https://psc.ap.gov.in,https://igod.gov.in/apx/AP/APXS/organizations
apx,AP,APXS,Andhra Pradesh,"State Election Commission (SEC), Andhra Pradesh",,https://sec.ap.gov.in,https://igod.gov.in/apx/AP/APXS/organizations
apx,AP,APXS,Andhra Pradesh,"Chief Minister's Relief Fund, Government of Andhra Pradesh",,https://apcmrf.ap.gov.in,https://igod.gov.in/apx/AP/APXS/organizations
apx,,APXC,Apex Bodies (Central),President of India,,https://presidentofindia.gov.in,https://igod.gov.in/apx/APXC/organizations
apx,,APXC,Apex Bodies (Central),Vice President of India,,https://vicepresidentofindia.nic.in,https://igod.gov.in/apx/APXC/organizations
apx,,APXC,Apex Bodies (Central),Prime Minister's Office,,https://pmindia.gov.in,https://igod.gov.in/apx/APXC/organizations
apx,,APXC,Apex Bodies (Central),Cabinet Secretariat,,https://cabsec.gov.in,https://igod.gov.in/apx/APXC/organizations
apx,,APXC,Apex Bodies (Central),Election Commission of India,,https://eci.gov.in,https://igod.gov.in/apx/APXC/organizations
apx,,APXC,Apex Bodies (Central),"National Human Rights Commission (NHRC), India",,https://nhrc.nic.in,https://igod.gov.in/apx/APXC/organizations
apx,,APXC,Apex Bodies (Central),Comptroller and Auditor General (CAG) of India,,https://cag.gov.in,https://igod.gov.in/apx/APXC/organizations
apx,,APXC,Apex Bodies (Central),NITI Aayog - National Institution for Transforming India,,https://niti.gov.in,https://igod.gov.in/apx/APXC/organizations
apx,,APXC,Apex Bodies (Central),Office of the Principal Scientific Adviser,,https://www.psa.gov.in,https://igod.gov.in/apx/APXC/organizations
apx,,APXC,Apex Bodies (Central),Union Public Service Commission,,https://upsconline.nic.in,https://igod.gov.in/apx/APXC/organizations
apx,,APXC,Apex Bodies (Central),Insurance Information Bureau of India (IIB),,https://iib.gov.in,https://igod.gov.in/apx/APXC/organizations
apx,AR,APXS,Arunachal Pradesh,Chief Minister of Arunachal Pradesh,,https://arunachalpradesh.gov.in/cm.html,https://igod.gov.in/apx/AR/APXS/organizations
apx,AR,APXS,Arunachal Pradesh,"Governor, Arunachal Pradesh",,https://arunachalgovernor.gov.in,https://igod.gov.in/apx/AR/APXS/organizations
apx,AR,APXS,Arunachal Pradesh,"State Election Commission (SEC), Arunachal Pradesh",,https://secap.nic.in,https://igod.gov.in/apx/AR/APXS/organizations
apx,AR,APXS,Arunachal Pradesh,"Arunachal Pradesh State Commission for Women, (APSCW)",,,https://igod.gov.in/apx/AR/APXS/organizations
apx,AR,APXS,Arunachal Pradesh,Arunachal Pradesh Public Service Commission (APPSC),,https://appsc.gov.in,https://igod.gov.in/apx/AR/APXS/organizations
apx,AS,APXS,Assam,Chief Minister of Assam,,https://cm.assam.gov.in,https://igod.gov.in/apx/AS/APXS/organizations
apx,AS,APXS,Assam,"State Information Commission (SIC), Assam",,https://sic.assam.gov.in,https://igod.gov.in/apx/AS/APXS/organizations
apx,AS,APXS,Assam,Assam Public Service Commission,,https://apsc.nic.in,https://igod.gov.in/apx/AS/APXS/organizations
apx,BR,APXS,Bihar,"Lok Samvad Cell, CM Secretariat, Bihar",,https://www.loksamvad.bihar.gov.in,https://igod.gov.in/apx/BR/APXS/organizations
apx,BR,APXS,Bihar,"Chief Minister's Secretariat, Government of Bihar",,https://cmo.bihar.gov.in,https://igod.gov.in/apx/BR/APXS/organizations
apx,BR,APXS,Bihar,Bihar Chief Minister's Relief Fund,,https://www.cmrf.bih.nic.in,https://igod.gov.in/apx/BR/APXS/organizations
apx,BR,APXS,Bihar,"State Election Commission (SEC), Bihar",,https://sec.bihar.gov.in,https://igod.gov.in/apx/BR/APXS/organizations
apx,BR,APXS,Bihar,Chief Minister of Bihar,,https://cm.bihar.gov.in,https://igod.gov.in/apx/BR/APXS/organizations
apx,BR,APXS,Bihar,Governor of Bihar,,https://governor.bih.nic.in,https://igod.gov.in/apx/BR/APXS/organizations
apx,BR,APXS,Bihar,Bihar Public Service Commission,,https://bpsc.bihar.gov.in,https://igod.gov.in/apx/BR/APXS/organizations
apx,CG,APXS,Chhattisgarh,Governor of Chhattisgarh,,https://rajbhavancg.gov.in,https://igod.gov.in/apx/CG/APXS/organizations
apx,CG,APXS,Chhattisgarh,Chief Minister of Chhattisgarh,,https://cmo.cg.gov.in,https://igod.gov.in/apx/CG/APXS/organizations
apx,CG,APXS,Chhattisgarh,Chhattisgarh Chief Minister's Relief Fund,,https://cmrf.cg.gov.in,https://igod.gov.in/apx/CG/APXS/organizations
apx,CG,APXS,Chhattisgarh,Chhattisgarh Public Service Commission,,https://psc.cg.gov.in,https://igod.gov.in/apx/CG/APXS/organizations
apx,CG,APXS,Chhattisgarh,"State Election Commission (SEC), Chhattisgarh",,https://cgsec.gov.in,https://igod.gov.in/apx/CG/APXS/organizations
apx,CH,APXS,Chandigarh,"Election Department, Chandigarh",,,https://igod.gov.in/apx/CH/APXS/organizations
apx,DL,APXS,Delhi,"Lt. Governor / Chief Minister Relief Fund, Government of NCT of Delhi",,https://lgcmrelieffund.delhi.gov.in,https://igod.gov.in/apx/DL/APXS/organizations
apx,DL,APXS,Delhi,"State Election Commission (SEC), Delhi",,https://sec.delhi.gov.in,https://igod.gov.in/apx/DL/APXS/organizations
apx,GA,APXS,Goa,"Governor of Goa - Raj Bhavan, Panaji",,https://www.rajbhavan.goa.gov.in,https://igod.gov.in/apx/GA/APXS/organizations
apx,GA,APXS,Goa,Goa Chief Minister's Relief Fund for COVID-19,,https://goaonline.gov.in/Covid-19,https://igod.gov.in/apx/GA/APXS/organizations
apx,GA,APXS,Goa,"State Election Commission (SEC), Goa",,https://sec.goa.gov.in,https://igod.gov.in/apx/GA/APXS/organizations
apx,GA,APXS,Goa,Goa Public Service Commission,,https://gpsc.goa.gov.in,https://igod.gov.in/apx/GA/APXS/organizations
apx,GJ,APXS,Gujarat,"Governor of Gujarat - Raj Bhavan, Gandhinagar",,https://rajbhavan.gujarat.gov.in,https://igod.gov.in/apx/GJ/APXS/organizations
apx,GJ,APXS,Gujarat,"Chief Minister's Office, Gujarat",,https://cmogujarat.gov.in,https://igod.gov.in/apx/GJ/APXS/organizations
apx,GJ,APXS,Gujarat,"State Election Commission (SEC), Gujarat",,https://sec.gujarat.gov.in,https://igod.gov.in/apx/GJ/APXS/organizations
apx,GJ,APXS,Gujarat,Gujarat Chief Minister's Relief Fund,,https://iora.gujarat.gov.in/cmrf,https://igod.gov.in/apx/GJ/APXS/organizations
apx,GJ,APXS,Gujarat,Gujarat Public Service Commission,,https://www.gpsc.gujarat.gov.in,https://igod.gov.in/apx/GJ/APXS/organizations
apx,HP,APXS,Himachal Pradesh,"Governor of Himachal Pradesh - Raj Bhavan, Shimla",,https://himachalrajbhavan.nic.in,https://igod.gov.in/apx/HP/APXS/organizations
apx,HP,APXS,Himachal Pradesh,"Election Department, Himachal Pradesh",,https://ceohimachal.nic.in,https://igod.gov.in/apx/HP/APXS/organizations
apx,HP,APXS,Himachal Pradesh,Himachal Pradesh Chief Minister's Relief Fund for COVID-19,,https://cmhimachal.hp.gov.in,https://igod.gov.in/apx/HP/APXS/organizations
apx,HP,APXS,Himachal Pradesh,Himachal Pradesh State Commission For Women,,https://hp.gov.in/hpwomencommission,https://igod.gov.in/apx/HP/APXS/organizations
apx,HP,APXS,Himachal Pradesh,Himachal Pradesh Public Service Commission,,https://www.hppsc.hp.gov.in,https://igod.gov.in/apx/HP/APXS/organizations
apx,HR,APXS,Haryana,"Governor of Haryana - Raj Bhavan, Chandigarh",,https://haryanarajbhavan.gov.in,https://igod.gov.in/apx/HR/APXS/organizations
apx,HR,APXS,Haryana,Haryana Chief Minister's Office,,https://haryanacmoffice.gov.in,https://igod.gov.in/apx/HR/APXS/organizations
apx,HR,APXS,Haryana,Haryana Chief Minister's Secretariat - CM Announcements Monitoring System,,https://cmofficehry.gov.in,https://igod.gov.in/apx/HR/APXS/organizations
apx,HR,APXS,Haryana,"State Election Commission (SEC), Haryana",,https://secharyana.gov.in,https://igod.gov.in/apx/HR/APXS/organizations
apx,HR,APXS,Haryana,Haryana Public Service Commission (HPSC),,https://hpsc.gov.in,https://igod.gov.in/apx/HR/APXS/organizations
